feature,importance,importance_pct,cumulative_pct,rank
solar_fraction_2035,0.06666666666666676,6.666666666666677,6.666666666666677,1
supply_chain_stress,0.06666666666666675,6.666666666666675,13.333333333333352,2
year_of_peak,0.06666666666666674,6.666666666666673,20.000000000000025,3
peak_demand,0.06666666666666672,6.666666666666672,26.666666666666696,4
total_cumulative_demand,0.06666666666666671,6.6666666666666705,33.333333333333364,5
mean_ci_width,0.0666666666666667,6.66666666666667,40.000000000000036,6
mean_n_exceeding_production,0.0666666666666667,6.66666666666667,46.66666666666671,7
storage_fraction_2035,0.06666666666666668,6.666666666666668,53.33333333333337,8
wind_fraction_2035,0.06666666666666667,6.666666666666667,60.000000000000036,9
mean_demand_early,0.06666666666666665,6.666666666666665,66.6666666666667,10
peak_supply_chain_stress,0.06666666666666665,6.666666666666665,73.33333333333337,11
mean_cv,0.06666666666666662,6.6666666666666625,80.00000000000003,12
temporal_concentration,0.06666666666666661,6.666666666666661,86.66666666666669,13
total_import_exposed_demand,0.0666666666666666,6.66666666666666,93.33333333333334,14
demand_slope,0.06666666666666655,6.666666666666655,100.0,15
